,Valoración
982,3.6
10008,3.4
7078,3.9
10927,4.0
12965,4.2
8994,3.7
19315,4.1
377,4.0
357,3.8
12815,4.2
8055,3.5
19766,4.0
5759,3.7
7592,3.9
12734,3.7
10206,4.2
10354,4.2
2234,3.5
11747,4.0
10616,4.0
12408,3.7
19265,4.2
10830,4.2
4352,3.9
8749,4.0
12899,3.5
19828,4.0
5655,3.8
12787,4.3
8212,4.0
9249,3.6
2718,3.0
16743,3.7
1256,3.8
2640,3.7
4318,3.7
2652,3.7
6271,4.1
9433,3.7
8890,4.4
11774,3.9
1336,3.7
113,3.9
5211,3.7
6632,3.8
13607,4.3
13692,4.0
4286,3.8
16802,4.2
13304,4.0
11814,4.1
12956,3.0
4488,3.1
6757,3.7
380,4.0
13419,3.6
13834,3.9
16505,4.2
11106,4.3
4755,3.9
135,3.9
9189,3.8
14461,4.3
19697,4.3
15093,4.2
14984,4.6
11793,3.9
8100,4.2
19178,4.1
17833,4.2
2087,3.9
14655,4.1
6673,4.0
10251,4.7
3997,3.4
9564,4.0
13952,3.7
4954,3.6
11771,4.1
3288,4.2
9247,3.6
425,4.2
15656,3.8
17203,4.1
5395,3.9
17504,4.3
19925,3.4
8261,4.4
13552,4.3
10608,3.9
10485,4.3
14581,4.0
14455,3.7
14998,4.5
10905,4.1
3214,4.2
8711,4.2
1833,4.2
3658,4.3
14276,4.2
11652,4.3
18636,3.8
15414,4.0
9688,3.6
12917,3.5
7709,3.7
14743,3.6
8546,4.3
14973,4.6
653,3.9
17658,4.1
11632,3.9
3234,4.4
7908,3.9
2726,3.5
1113,3.6
12322,4.1
7331,3.8
373,3.9
2099,4.0
7347,4.0
2993,4.5
15542,4.0
1275,3.8
6776,4.0
4304,3.8
18266,3.7
11765,4.0
9578,4.2
2132,3.3
8500,4.1
6848,3.8
16017,4.0
17841,4.1
15376,3.7
6546,4.0
9888,4.1
12725,3.6
13734,4.0
10494,4.3
862,3.8
12553,3.8
7108,3.8
11818,3.8
5585,4.6
1720,3.6
18574,4.0
4842,3.9
16438,3.6
18681,3.8
15725,4.1
638,3.8
17125,4.2
4132,3.5
566,4.0
9677,2.9
9062,4.0
11625,4.1
6179,3.4
1305,3.9
17225,4.2
4303,4.1
15197,3.8
18770,3.8
6406,3.8
5217,3.7
5554,4.1
9364,4.0
18916,4.4
8782,4.2
5351,4.2
1795,3.8
8239,4.5
7976,4.2
1964,4.1
2629,3.2
6562,3.7
15470,4.0
9971,4.2
17777,4.2
15969,4.1
19308,4.1
17686,4.1
6441,4.1
12085,3.7
11902,3.9
18389,4.0
4871,3.9
2543,3.5
3884,3.5
9318,3.8
2275,3.6
9162,4.2
8311,3.9
420,3.8
284,3.9
998,3.8
7232,3.7
3181,4.2
17547,4.0
10953,4.1
10273,4.4
3834,3.5
18676,4.2
3245,4.3
4281,2.9
11991,3.9
7409,4.0
19036,4.3
13811,4.4
11900,4.3
8508,4.2
10821,4.3
19267,3.9
14741,3.9
10903,4.1
160,3.8
12790,4.1
10388,3.8
682,3.8
10278,4.0
12960,3.6
150,3.8
18265,4.1
5735,3.9
3411,4.3
8035,4.1
8509,4.2
15066,4.3
5788,4.0
9290,4.0
16807,4.3
18725,4.0
15602,4.4
20038,4.0
16467,4.4
4315,4.0
18360,4.3
2661,3.5
17690,4.1
11896,3.1
14077,3.4
3788,3.7
15026,4.0
1276,3.3
9026,4.0
11100,4.2
5275,4.5
14579,4.1
116,4.1
15303,4.0
5385,4.0
8569,3.8
11904,4.1
1112,4.1
10169,4.2
7946,4.0
16048,3.8
15539,3.9
9845,3.7
3651,3.8
14195,4.3
1255,3.7
3684,3.5
10891,4.1
14096,3.9
19133,3.9
13903,4.2
2481,3.6
6825,4.1
7948,3.7
19663,4.2
17541,3.9
829,3.6
17256,4.2
1602,4.1
11784,4.3
3058,4.1
14967,4.7
15664,4.0
8701,4.0
8528,4.2
16796,4.1
11551,3.8
17091,4.3
10735,3.4
5533,3.9
18011,4.1
14177,4.0
17548,4.1
1921,3.9
11675,4.2
10947,3.9
15848,4.2
11492,4.1
11319,3.8
12311,4.1
11083,4.5
3851,3.7
3938,3.6
7198,3.2
7480,3.7
14375,4.1
8130,4.1
14948,3.8
16062,4.1
19615,3.5
3607,4.2
13192,3.6
1320,3.8
16454,3.7
17034,4.2
12108,4.4
168,4.0
5273,4.1
8689,4.1
14554,3.6
11725,4.3
12975,4.4
14279,3.3
398,3.7
6211,3.5
17269,3.8
149,4.1
3069,4.5
18990,4.4
94,3.9
9445,4.2
13897,4.2
15809,3.7
13541,4.0
4936,3.7
13013,4.3
1496,3.9
6864,4.0
4767,3.8
8410,4.2
12400,4.1
19887,3.7
16135,4.0
17927,4.2
18746,4.2
3746,3.8
12430,3.8
4914,3.9
11807,3.9
12831,4.2
15887,3.6
1929,4.0
8133,4.1
10633,4.0
5005,3.6
1967,4.0
9933,3.9
9955,3.8
1634,4.3
9512,4.1
17629,3.9
14876,4.2
8897,4.0
9493,4.1
16118,3.7
11312,4.2
13254,3.8
1479,3.6
8154,4.3
7556,4.1
1498,4.0
8320,4.0
10646,4.3
9914,3.7
12521,3.9
8883,4.3
15316,4.3
12476,3.8
1332,3.8
7199,3.8
5195,3.1
13366,4.0
2688,3.6
1714,3.5
19365,3.6
9130,4.1
15307,4.0
19894,3.6
9200,3.9
8893,4.2
3855,3.6
7595,3.6
4113,3.6
8356,4.1
16595,3.8
2715,3.6
18304,3.6
316,4.3
19427,3.7
18572,3.8
11833,4.3
20105,4.1
13910,3.7
6926,4.0
2818,3.8
17733,4.2
950,3.8
9496,3.8
11680,4.1
11521,4.2
30,4.0
7111,4.0
1639,4.3
18371,3.7
10688,3.5
6166,3.8
4456,3.6
12010,3.5
16399,3.7
7402,3.9
16057,4.1
8524,4.0
17229,3.9
1965,4.2
17522,3.9
1584,3.9
2025,3.6
7668,4.1
18652,4.2
14060,3.7
11849,3.9
17619,3.9
14804,4.0
7773,3.7
2928,3.6
10629,4.1
6181,3.5
11147,4.1
16992,4.0
14359,3.6
6880,3.9
19907,3.5
1593,3.7
17141,4.2
6735,4.0
700,3.7
13853,4.2
15826,3.7
9271,3.9
9403,4.1
6393,4.3
3995,3.4
7692,4.0
1314,4.0
8876,4.2
764,3.7
19164,4.3
4342,3.7
6135,4.0
5944,3.9
12100,3.8
9988,4.2
14203,4.5
38,4.0
3613,4.1
1455,4.0
19994,4.2
13550,4.4
9683,4.0
2894,3.7
12932,3.4
8020,4.1
14628,4.1
8452,4.2
6219,3.7
1053,3.7
12700,3.7
11397,4.5
12360,3.8
14175,4.5
17401,4.3
9708,3.8
16557,4.0
2807,3.3
14376,4.0
7781,4.3
13720,4.0
304,4.0
17226,4.2
5386,4.0
6370,3.9
5018,4.2
5749,3.9
14284,3.8
7885,3.9
252,3.9
511,3.9
9982,3.8
8359,3.9
16273,3.8
9004,3.5
18674,4.4
9503,3.9
8288,3.9
7364,4.2
750,3.8
14486,3.8
6872,3.8
742,3.4
19520,4.1
176,3.5
11379,4.5
12075,4.0
9410,4.2
12492,4.2
13060,3.9
11132,4.4
6813,3.8
4807,3.9
13263,4.1
2390,3.7
17551,4.1
14545,3.8
381,4.0
14982,4.6
18934,4.0
6247,3.8
5457,4.0
20078,3.2
19416,3.7
11263,4.1
16308,3.6
7736,3.5
9399,4.0
16046,3.7
9930,3.9
19833,4.1
11356,4.2
984,3.7
439,4.0
8531,4.1
3781,3.4
20000,4.1
8077,4.5
8047,4.3
19782,4.3
10904,3.9
4985,3.9
14013,3.8
15758,4.5
12302,4.2
11141,4.5
1226,3.8
9521,3.9
15768,4.2
11813,4.2
18099,4.0
903,4.2
14558,3.7
7704,3.9
5250,3.8
14514,3.9
10099,4.2
7317,4.0
366,4.0
12518,3.8
3079,4.0
19470,4.0
3016,4.3
6088,4.1
5712,3.6
17385,4.0
1653,4.1
16222,4.4
3422,4.1
18594,3.9
5588,4.3
9067,4.0
7782,4.3
1206,3.9
13557,3.6
9071,4.0
16216,4.0
1486,4.0
12515,3.8
5219,3.9
85,4.4
13710,4.1
167,4.1
14653,4.0
5826,4.3
8116,4.5
15892,3.5
12816,4.3
753,3.8
1418,4.1
6212,3.6
2254,3.2
4063,3.7
17181,4.3
19798,4.0
8123,4.3
13206,3.6
18047,4.1
4244,3.8
13739,4.2
2438,3.5
7322,4.2
2069,3.9
10416,2.4
17855,4.1
17387,4.2
16146,4.2
1078,3.8
15695,3.8
2175,3.6
4125,3.6
624,3.9
15259,3.8
6260,4.0
5099,4.0
4105,3.7
7899,4.0
3550,4.3
18309,4.1
13481,4.2
147,4.0
13012,3.9
6312,4.1
19090,3.9
1354,3.8
12643,4.1
6368,3.9
18007,4.0
13196,3.7
17913,4.4
16292,4.0
16481,4.3
8307,4.1
6504,3.8
6491,3.8
16432,3.6
13788,4.2
18687,4.1
20125,3.7
991,4.3
2447,3.4
1887,3.9
19729,4.3
17375,4.2
17077,4.2
12054,3.9
905,3.8
14445,3.7
18018,3.9
9273,3.9
5170,3.8
10014,3.7
7896,3.8
15210,3.9
8716,3.2
3102,4.1
18638,3.7
517,3.6
15415,4.0
14705,3.6
10039,4.1
10462,3.7
11232,4.0
19577,3.4
5144,3.8
11437,4.3
4750,3.4
14509,3.8
6691,3.5
6780,4.2
13885,3.9
19722,4.1
18850,4.3
9265,3.9
9962,4.2
7133,3.8
13572,3.8
3107,4.1
2006,4.1
16739,4.2
5888,4.3
2733,3.6
14429,3.7
10281,4.0
1693,4.0
12568,4.0
13631,4.5
4385,3.9
16984,4.0
8808,4.2
10580,3.9
3289,4.3
17510,3.8
2499,3.4
7162,3.8
14171,4.5
7862,4.4
16367,4.0
8215,4.6
15425,3.9
12701,3.9
19084,3.8
11322,4.0
17325,3.1
2574,3.6
19757,4.2
14559,3.6
4220,3.5
12961,3.8
5454,4.1
18394,3.8
13023,3.9
13302,4.5
14134,3.9
12289,3.8
6594,3.5
4089,3.8
18113,4.2
10528,4.0
8474,4.0
14589,3.5
7536,3.7
3601,4.3
18830,4.3
8843,4.2
18942,4.2
17097,4.4
19699,4.3
2923,3.4
13675,4.0
1064,4.1
18370,4.0
13521,4.0
9396,4.1
1771,3.8
332,4.2
3989,3.7
12466,3.7
15676,3.8
3865,3.2
10408,3.4
5761,3.7
16095,3.9
8674,3.9
19976,3.7
12197,4.4
7589,4.2
15510,4.1
2299,3.4
4467,3.6
15036,4.0
13050,3.8
4246,3.7
8127,4.1
8487,3.7
13406,3.6
12966,4.2
1683,4.0
7202,4.1
19916,3.7
17929,3.7
9815,3.9
19199,4.4
578,3.9
9232,4.0
334,3.8
13350,4.2
5837,4.2
14656,4.1
4585,3.9
7525,3.8
14886,4.1
6660,3.4
9252,4.1
676,3.8
14605,3.8
5102,3.8
18711,4.1
18592,3.9
782,3.9
6869,4.0
13370,3.6
6835,4.2
1796,3.9
13765,3.8
5381,4.4
18884,3.9
13994,4.0
13864,3.6
13084,4.1
15787,4.0
16395,3.8
3166,4.3
4061,3.6
2297,3.5
15856,4.0
19474,4.2
7113,3.9
2836,3.7
11821,4.1
19129,3.8
9478,4.4
1955,4.1
5894,4.0
13307,4.1
5551,4.1
8351,4.0
7308,3.9
15697,3.7
13113,4.3
11237,3.9
533,3.8
13856,4.3
469,4.1
19085,3.8
9635,4.0
6099,4.5
3761,3.9
5648,3.9
15348,4.4
10241,4.4
13703,4.0
5684,3.5
1266,3.9
8140,4.2
16418,3.8
6724,3.8
15012,4.0
14884,3.7
3780,3.6
12767,4.4
8666,4.1
15098,4.3
5528,4.2
15080,4.3
13959,3.8
20130,3.5
6881,3.9
1566,3.9
14635,3.9
11027,4.1
13295,4.1
4514,3.5
14979,4.6
9819,3.8
14682,3.6
19294,4.0
1544,3.7
15527,4.2
6115,3.8
2604,3.5
9669,3.7
15432,4.2
15673,3.9
16791,4.3
1281,3.5
19769,4.1
8014,4.2
18555,3.8
2471,3.4
19456,4.0
18777,4.0
12229,4.2
19735,4.1
10317,4.3
5364,3.7
20036,4.0
19879,3.7
11956,4.2
6528,3.3
4126,3.7
16366,3.7
5245,3.6
3599,4.3
11136,4.5
19230,4.2
10769,4.3
4294,3.9
15460,4.1
17580,4.1
11294,4.3
4093,3.8
19051,4.4
14901,4.0
9771,4.2
19389,3.8
3402,4.1
11308,3.7
14046,4.0
18982,4.0
13218,3.7
13035,3.9
13798,4.3
18886,3.9
11592,3.7
13167,3.8
17749,4.2
7325,3.8
12702,3.6
5688,3.4
3986,3.8
10780,4.3
11488,3.9
9705,3.9
8441,3.9
3824,3.7
14207,4.4
20052,4.0
19589,3.8
19554,4.2
19132,3.8
157,4.2
10568,4.1
188,3.9
3577,4.2
2493,3.1
15466,4.0
15213,3.6
10503,4.5
10877,3.1
11220,3.9
17847,4.1
19981,3.9
14711,3.6
15475,3.9
15465,4.0
17748,4.1
10676,3.6
3013,4.4
10550,4.1
11278,3.9
9114,4.0
7154,4.0
7139,3.9
13986,4.0
13173,3.7
8889,4.2
19559,3.6
12974,4.0
15120,4.4
3639,4.4
428,4.1
18410,3.9
9724,3.9
14135,3.7
19560,3.9
14988,4.7
18174,4.3
9978,3.9
19888,3.4
2359,3.5
673,3.7
15054,4.0
10098,3.9
14033,3.7
17555,3.8
17419,4.2
2820,3.6
19876,3.6
14262,3.7
2791,3.3
13977,3.8
19086,3.9
20107,3.6
15785,4.3
1326,3.8
6614,3.8
14225,4.1
8207,4.1
915,4.2
12839,4.0
8490,4.1
1650,4.0
12141,4.0
5703,4.0
5248,3.7
7880,3.9
9479,4.2
16508,4.6
435,4.0
14470,3.8
13772,4.2
14311,3.7
10589,4.4
18316,3.8
2562,3.8
18896,3.2
19185,4.1
3198,4.1
15248,3.6
14242,4.2
18208,4.3
7950,4.1
8455,4.2
8836,4.1
9793,4.4
531,3.6
6452,4.0
17960,4.1
10360,4.2
18818,4.3
5413,4.3
12706,3.8
16967,4.4
18397,4.1
15738,4.7
12274,4.4
15926,3.5
5028,3.9
280,4.2
13455,3.6
16564,3.8
13219,3.8
12847,4.1
17529,3.9
1643,4.0
1889,3.9
12874,3.2
16443,3.8
12782,4.3
3594,4.4
2996,4.5
4501,3.8
11163,3.9
19622,3.4
12819,3.9
3193,4.2
13715,4.5
15800,4.0
7444,3.8
18425,4.1
15533,4.4
7360,3.6
575,3.8
8362,4.2
1352,3.8
3902,3.2
17095,4.2
12345,3.6
4154,4.1
7882,4.2
11861,4.0
505,3.8
2857,3.7
7553,3.9
1432,3.8
4554,3.8
11204,4.2
9967,4.4
9743,3.7
18587,4.1
17880,4.5
3371,4.1
4367,3.7
10685,3.7
9691,3.8
18482,3.8
610,3.8
6931,3.7
11504,3.8
18667,3.5
18834,3.6
15457,4.0
9394,4.2
14478,4.0
16319,3.8
18766,3.8
10756,3.6
3448,4.0
15531,3.9
4800,4.1
8234,4.2
18599,3.8
19436,3.9
12429,3.7
17513,3.7
8179,3.8
17703,3.9
5439,4.2
3944,3.4
18626,4.0
4308,4.1
2919,3.4
3501,4.2
6662,3.6
14078,3.6
4660,4.0
13628,4.5
17243,4.1
14294,3.2
14946,3.7
5663,3.9
448,3.6
10478,3.8
8758,3.9
6603,3.4
10765,4.4
7277,3.9
18677,4.0
13101,4.0
14345,3.4
15810,4.0
5717,3.3
1127,3.9
17246,4.5
4407,3.8
1799,4.0
12306,4.0
14381,4.0
7745,3.7
7485,4.3
10827,4.3
5015,4.0
11882,3.6
10621,4.1
3441,4.2
17219,4.2
14166,4.6
13731,3.8
4384,3.8
4288,3.7
19486,4.3
9398,4.2
8688,3.9
11921,4.2
16889,3.5
3260,4.2
15206,4.0
5906,4.2
8611,3.7
7801,4.0
8824,3.9
15899,3.5
5070,3.8
10407,3.5
2947,4.5
2840,3.6
18206,4.3
9432,4.2
8543,4.4
177,3.6
15890,3.7
18767,4.4
14412,4.0
14202,4.5
8727,3.9
4081,3.6
1511,4.0
19033,4.3
8143,4.2
3942,3.4
11984,4.1
6675,3.7
8619,3.7
8695,3.5
18487,3.7
7780,4.1
473,3.8
10247,4.6
18996,4.3
1846,4.0
13373,3.5
11565,3.8
13025,4.3
15667,3.8
18763,4.1
6505,4.1
17440,4.2
1327,3.6
9001,4.0
3418,4.1
9316,3.9
6403,4.3
16793,4.2
1681,3.6
1452,4.1
775,3.7
2109,3.8
18987,4.5
7406,3.9
19068,3.7
1365,4.0
8345,4.0
17791,4.0
11125,4.3
6754,3.6
6165,3.7
18277,3.9
6742,3.5
299,3.9
1107,3.9
850,3.9
7443,4.0
9073,3.6
18811,4.4
14168,4.6
2246,3.2
6867,4.0
13438,3.8
3031,3.9
1608,3.6
17824,4.2
10460,4.0
8,4.2
13382,3.4
6154,4.1
6558,4.0
4040,3.6
12792,4.3
12746,3.5
13881,3.9
6144,4.3
12822,4.3
14939,4.0
9092,3.9
5101,3.9
3801,3.2
15278,4.1
3097,4.3
19104,3.9
10457,3.5
4787,3.8
10320,4.0
16918,4.0
6661,3.7
18696,4.1
9116,4.2
18760,4.2
3657,4.3
3706,3.8
1190,4.1
7511,4.0
19440,3.9
8442,3.9
7291,4.0
9761,3.7
8228,4.1
9195,3.8
14910,4.0
13604,4.4
16792,4.3
13037,3.8
13693,4.2
13087,4.5
8523,4.2
11536,4.1
10300,4.1
11873,4.1
12649,3.9
19006,4.3
12484,4.0
9546,4.2
12752,3.7
13917,3.9
6811,3.9
19166,4.2
11759,3.7
6351,3.9
2478,3.5
17977,4.2
19044,4.5
13349,3.9
9417,4.1
12893,4.1
14056,3.7
1808,4.0
7811,4.1
8243,4.4
6391,4.0
8899,4.3
263,4.1
13837,4.1
19422,3.7
8863,4.1
17076,4.0
15686,3.7
19255,4.2
1571,3.3
12378,3.8
14539,3.9
19276,4.3
19739,4.2
11150,4.2
19997,4.2
12613,4.1
1370,3.7
3090,4.5
5038,3.9
14732,3.7
7342,3.9
19222,4.4
15440,4.2
13838,4.4
16722,3.7
5785,4.0
6683,3.9
14055,3.9
11842,3.6
12506,3.8
8926,4.0
19846,4.3
11611,4.0
14421,3.9
15132,4.1
8852,4.0
13828,4.2
11626,3.9
19461,4.1
15420,4.0
7669,3.8
15471,4.1
1976,3.9
17643,3.8
1442,3.6
20055,4.1
8254,4.5
2309,3.6
15528,4.1
1766,4.2
19728,4.2
19738,4.0
15577,3.9
1488,4.0
4907,3.8
17429,3.9
18619,4.0
12078,3.9
18408,3.7
6386,4.1
19302,4.3
13916,3.8
9515,4.1
14226,4.4
4638,3.7
10209,4.5
13586,4.5
19361,4.0
11110,4.3
1655,3.9
11231,4.0
2861,3.6
5432,4.0
13245,3.9
2183,3.2
15005,4.7
8148,4.2
18903,4.4
6751,3.6
9627,4.1
16637,3.6
12664,3.6
4812,3.8
2126,3.2
9956,3.9
8686,4.0
1011,4.0
12761,3.6
2088,3.4
14325,3.9
981,3.9
10576,4.1
6651,4.0
12832,4.4
4834,3.9
16831,4.0
5268,3.7
6302,3.9
15069,4.1
1246,3.9
11617,4.1
2074,3.8
17487,3.8
14987,4.7
19268,4.1
17517,3.6
3290,4.2
914,4.1
8733,4.0
6070,3.9
18127,3.9
17524,3.9
18977,4.4
19742,3.9
6696,3.5
5916,4.3
12611,4.2
15426,4.1
16191,4.2
7560,4.2
15622,4.0
17164,4.0
10782,4.3
3387,4.2
18804,4.2
6921,3.9
15447,4.1
10654,4.0
9735,4.0
3813,4.0
796,3.8
15204,3.9
8063,4.3
9870,3.8
2619,3.6
6226,3.9
17472,4.1
1748,3.7
10612,3.8
20115,4.2
5310,4.1
1122,3.9
3101,4.4
84,4.0
13766,4.1
17438,3.9
18842,4.4
16041,3.8
3099,4.2
9235,3.8
10126,4.0
15723,3.5
12811,4.1
10880,3.6
11616,4.0
7970,4.2
12363,3.9
10366,3.4
5834,4.3
9898,3.7
12886,3.5
18615,4.3
17417,4.0
5118,3.4
2231,3.5
13763,4.2
3053,3.5
15692,4.0
13195,3.4
6979,3.7
8214,3.9
13464,4.2
1592,4.2
4850,3.5
5904,4.4
14649,4.2
5865,4.1
19800,3.7
12508,3.8
3221,4.1
13220,3.7
15598,4.1
5626,4.1
3546,4.3
7299,3.9
2404,3.5
13152,4.1
5889,4.0
3369,4.5
10697,3.6
15924,3.8
12824,4.3
17250,3.7
17538,3.7
7569,4.1
6502,3.9
13642,4.5
13956,4.0
19946,3.4
5639,3.9
434,4.2
2528,3.6
16215,4.2
4856,3.9
19974,3.6
19748,4.3
6410,3.6
2834,3.7
2203,3.4
3445,4.3
14091,3.8
18879,4.2
509,3.6
4280,3.6
13612,4.4
18033,4.2
13153,4.1
9314,3.7
16622,3.7
17787,4.2
8272,4.0
9056,3.8
18518,3.7
15850,4.0
11120,4.3
9561,4.0
13296,4.1
8497,3.9
7909,3.9
14407,3.9
17905,4.3
932,3.3
14113,4.1
9013,3.9
10326,4.2
8914,4.2
3685,3.8
3484,4.5
12340,4.2
11817,3.9
15814,4.2
13460,3.7
15397,4.2
3337,4.4
1368,3.8
15966,3.8
9657,4.2
1547,3.7
10598,3.6
2584,3.7
13001,4.1
12148,4.2
11196,4.1
7584,3.9
1818,4.1
17109,4.2
9255,3.7
353,4.0
9211,3.9
19096,4.2
1082,3.9
12263,4.2
19042,3.9
1935,4.1
17122,4.2
4899,3.8
8353,3.8
5658,3.9
8903,4.2
7714,3.7
3991,3.6
3447,4.0
7472,3.7
16688,4.0
17613,3.8
14980,4.7
11881,4.4
6791,4.0
5805,4.2
10822,4.3
11217,4.0
2564,3.6
2918,3.5
13531,4.1
4595,3.5
5157,4.0
8638,3.8
17932,4.2
5322,4.3
12940,3.8
9458,4.0
13154,4.3
10946,4.2
15235,3.9
5142,3.8
7787,4.3
4993,3.8
5155,3.7
10130,4.1
9196,3.8
2291,3.3
11496,3.7
6731,3.5
3603,4.0
5094,3.9
7871,3.9
14267,3.6
10625,3.5
14903,4.0
8319,4.5
1659,3.9
10740,3.5
11641,4.3
6062,3.6
842,3.7
2977,4.4
4026,3.5
18023,4.2
5926,4.2
2091,3.3
10156,3.9
7666,3.6
3063,4.5
12768,4.1
14322,3.7
6071,3.8
11386,4.4
11153,4.4
20124,3.6
2633,3.6
3297,4.3
14633,4.1
7435,3.3
18436,3.9
14299,3.6
4100,3.4
1236,4.0
2900,3.4
8346,4.0
7502,3.4
14,4.0
5653,3.7
4778,4.0
2792,3.4
2927,3.8
13547,4.3
14952,4.1
5923,4.3
15802,3.9
16069,3.8
19935,3.7
9358,4.0
6196,3.7
18561,4.3
13727,4.2
2606,3.7
2858,3.0
7050,3.9
11249,4.0
19829,3.8
5,3.9
19917,3.5
5012,3.8
11184,4.2
17912,4.5
19788,4.2
17525,3.8
16358,3.8
6591,4.1
10444,3.7
8157,3.7
17439,4.1
11498,3.9
18055,4.3
3362,3.5
17175,4.4
1938,4.1
8142,4.1
8826,4.1
6057,4.1
4870,3.7
3877,3.6
14766,4.1
16573,4.2
12594,4.0
2884,3.4
3714,3.5
14733,3.6
3480,4.0
10512,4.3
5069,3.5
17383,3.8
3027,4.1
15416,4.0
13563,4.2
10139,3.9
9963,4.2
14907,3.9
10477,4.2
19390,4.0
5466,4.3
10017,4.1
4705,3.7
16560,4.0
6690,3.9
568,4.2
8407,4.3
9346,3.6
6068,4.1
14751,3.2
17859,3.9
19563,3.6
16669,4.2
11579,3.7
4715,3.9
7841,4.2
6114,3.8
11200,3.8
2333,3.2
2455,3.5
19619,3.9
9490,4.2
19202,4.5
2525,3.3
1684,3.5
9367,3.6
17000,4.1
5497,4.0
5536,4.3
13909,4.0
4454,4.2
6495,3.8
9353,3.7
12009,3.6
14755,3.5
461,4.2
16700,4.1
15354,4.0
2613,3.7
10920,4.0
10031,4.1
